Date,Open,High,Low,Close,Adj Close,Volume
1961-03-07,63.470001,63.660000,63.439999,63.660000,63.660000,28490000
1961-03-14,63.380001,64.860001,63.380001,64.860001,64.860001,27150000
1961-03-21,64.739998,64.739998,64.349998,64.349998,64.349998,22390000
1961-03-28,64.379997,65.599998,64.379997,65.599998,65.599998,22040000
1961-04-04,65.660004,66.529999,65.459999,66.529999,66.529999,28070000
1961-04-11,66.620003,68.680000,66.260002,68.680000,68.680000,25970000
1961-04-18,66.199997,66.199997,64.400002,64.400002,64.400002,23440000
1961-04-25,65.300003,65.550003,65.169998,65.169998,65.169998,21520000
1961-05-02,65.639999,66.519997,65.639999,66.410004,66.410004,24550000
1961-05-09,66.470001,66.830002,66.389999,66.830002,66.830002,25680000
1961-05-16,67.080002,67.389999,66.849998,66.849998,66.849998,23510000
1961-05-23,66.680000,66.680000,66.010002,66.430000,66.430000,15170000
1961-05-30,66.559998,67.080002,66.559998,67.080002,67.080002,15910000
1961-06-06,66.889999,66.889999,65.639999,66.150002,66.150002,18820000
1961-06-13,65.800003,65.980003,64.580002,64.580002,64.580002,17040000
1961-06-20,65.150002,65.160004,64.470001,64.470001,64.470001,14780000
1961-06-27,64.470001,65.209999,64.470001,65.209999,65.209999,13040000
1961-07-04,65.629997,65.809998,65.629997,65.709999,65.709999,12950000
1961-07-11,65.690002,65.690002,64.790001,64.790001,64.790001,14350000
1961-07-18,64.410004,64.870003,64.410004,64.870003,64.870003,13330000
1961-07-25,65.230003,66.760002,65.230003,66.760002,66.760002,18030000
1961-08-01,67.370003,67.680000,66.940002,67.669998,67.669998,19210000
1961-08-08,67.820000,68.059998,67.720001,67.720001,67.720001,17710000
1961-08-15,67.550003,68.430000,67.550003,68.430000,68.430000,18790000
1961-08-22,68.440002,68.440002,67.589996,67.699997,67.699997,16480000
1961-08-29,67.550003,68.190002,67.550003,68.190002,68.190002,12010000
1961-09-05,67.959999,68.459999,67.279999,67.279999,67.279999,16560000
1961-09-12,67.959999,68.010002,67.209999,67.209999,67.209999,15660000
1961-09-19,66.080002,66.989998,65.769997,65.769997,65.769997,16070000
1961-09-26,65.779999,66.769997,65.779999,66.769997,66.769997,15620000
1961-10-03,66.730003,67.940002,66.730003,67.940002,67.940002,16370000
1961-10-10,68.110001,68.169998,67.849998,67.849998,67.849998,16090000
1961-10-17,67.870003,68.449997,67.870003,68.059998,68.059998,17390000
1961-10-24,67.980003,68.459999,67.980003,68.419998,68.419998,16980000
1961-10-31,68.620003,70.010002,68.620003,70.010002,70.010002,18860000
1961-11-07,70.870003,71.269997,70.769997,71.269997,71.269997,19490000
1961-11-14,71.660004,71.720001,71.620003,71.720001,71.720001,21540000
1961-11-21,71.779999,71.849998,71.699997,71.849998,71.849998,18110000
1961-11-28,71.750000,72.010002,71.320000,72.010002,72.010002,22100000
1961-12-05,71.930000,72.389999,71.699997,72.389999,72.389999,20800000
1961-12-12,72.639999,72.639999,71.760002,71.760002,71.760002,21440000
1961-12-19,71.260002,71.260002,70.860001,70.910004,70.910004,13910000
1961-12-26,71.019997,71.690002,71.019997,71.550003,71.550003,17250000
1962-01-02,71.550003,71.959999,68.169998,69.120003,69.120003,20410000
1962-01-09,69.120003,70.169998,68.570000,69.470001,69.470001,17470000
1962-01-16,69.470001,70.080002,67.750000,68.809998,68.809998,18500000
1962-01-23,68.809998,69.050003,67.550003,67.900002,67.900002,17050000
1962-01-30,67.900002,70.300003,67.620003,69.879997,69.879997,19460000
1962-02-06,69.879997,70.949997,69.410004,70.459999,70.459999,17590000
1962-02-13,70.459999,71.129997,70.029999,70.410004,70.410004,17550000
1962-02-20,70.410004,70.970001,69.440002,69.760002,69.760002,12750000
1962-02-27,69.760002,70.599998,69.480003,70.010002,70.010002,15100000
1962-03-06,70.010002,70.760002,69.370003,70.400002,70.400002,15590000
1962-03-13,70.400002,71.440002,70.059998,70.849998,70.849998,16400000
1962-03-20,70.849998,71.080002,69.730003,69.889999,69.889999,15640000
1962-03-27,69.889999,70.500000,69.129997,69.370003,69.370003,14640000
1962-04-03,69.370003,69.529999,68.089996,68.309998,68.309998,15520000
1962-04-10,68.309998,69.260002,67.029999,67.599998,67.599998,15980000
1962-04-17,67.599998,69.010002,67.239998,68.529999,68.529999,12630000
1962-04-24,68.529999,68.910004,64.949997,65.239998,65.239998,18320000
1962-05-01,65.239998,66.930000,63.759998,66.019997,66.019997,17740000
1962-05-08,66.019997,66.129997,61.110001,63.099998,63.099998,21920000
1962-05-15,63.410000,64.879997,63.209999,63.590000,63.590000,15840000
1962-05-22,63.590000,63.689999,55.419998,55.500000,55.500000,30070000
1962-05-29,55.500000,60.820000,53.130001,57.270000,57.270000,36600000
1962-06-05,57.270000,59.169998,56.330002,57.820000,57.820000,18520000
1962-06-12,57.660000,57.660000,53.660000,55.740002,55.740002,28490000
1962-06-19,55.740002,55.919998,51.349998,52.450001,52.450001,23330000
1962-06-26,52.450001,56.020000,51.770000,55.860001,55.860001,22130000
1962-07-03,55.860001,57.099998,55.540001,56.549999,56.549999,13330000
1962-07-10,56.990002,58.669998,56.770000,57.830002,57.830002,23250000
1962-07-17,57.830002,57.959999,55.860001,56.799999,56.799999,15590000
1962-07-24,56.799999,57.980000,55.779999,57.830002,57.830002,14350000
1962-07-31,57.830002,58.580002,57.380001,57.750000,57.750000,19800000
1962-08-07,57.750000,57.900002,56.759998,57.630001,57.630001,13860000
1962-08-14,57.630001,59.720001,57.410000,59.369999,59.369999,20710000
1962-08-21,59.369999,60.330002,58.900002,59.549999,59.549999,19050000
1962-08-28,59.549999,59.610001,58.169998,59.119999,59.119999,11170000
1962-09-04,59.119999,59.490002,57.720001,58.450001,58.450001,14610000
1962-09-11,58.450001,59.419998,58.169998,59.080002,59.080002,15450000
1962-09-18,59.080002,59.540001,56.299999,56.630001,56.630001,19270000
1962-09-25,56.630001,57.290001,55.259998,55.490002,55.490002,16650000
1962-10-02,55.490002,57.410000,55.310001,57.070000,57.070000,12820000
1962-10-09,57.070000,57.830002,56.660000,57.270000,57.270000,12500000
1962-10-16,57.270000,57.630001,54.380001,54.959999,54.959999,19720000
1962-10-23,54.959999,56.380001,52.549999,55.720001,55.720001,23640000
1962-10-30,55.720001,58.700001,55.520000,58.349998,58.349998,20110000
1962-11-06,58.349998,60.000000,57.759998,59.590000,59.590000,18170000
1962-11-13,59.590000,60.669998,59.060001,59.820000,59.820000,22100000
1962-11-20,59.820000,62.130001,59.570000,61.360001,61.360001,20700000
1962-11-27,61.360001,62.779999,60.980000,61.939999,61.939999,25670000
1962-12-04,61.939999,63.500000,61.770000,62.270000,62.270000,24260000
1962-12-11,62.270000,63.160000,61.720001,62.369999,62.369999,17710000
1962-12-18,62.369999,63.279999,61.720001,62.630001,62.630001,18490000
1962-12-25,62.630001,63.430000,62.529999,63.099998,63.099998,16600000
1963-01-01,63.099998,64.589996,62.320000,64.120003,64.120003,16950000
1963-01-08,64.120003,65.500000,64.000000,65.199997,65.199997,24450000
1963-01-15,65.199997,65.699997,64.349998,65.279999,65.279999,24270000
1963-01-22,65.279999,66.589996,65.029999,66.239998,66.239998,23930000
1963-01-29,66.239998,66.660004,65.510002,66.169998,66.169998,20320000
1963-02-05,66.169998,66.809998,65.379997,65.760002,65.760002,20400000
1963-02-12,65.760002,66.959999,65.160004,66.519997,66.519997,23420000
1963-02-19,66.519997,66.669998,65.239998,65.459999,65.459999,15910000
1963-02-26,65.459999,65.860001,63.799999,64.720001,64.720001,19010000
1963-03-05,64.720001,65.860001,64.309998,65.510002,65.510002,16270000
1963-03-12,65.510002,66.269997,65.260002,65.610001,65.610001,17660000
1963-03-19,65.610001,66.599998,65.190002,66.209999,66.209999,17610000
1963-03-26,66.209999,67.180000,66.010002,66.849998,66.849998,19540000
1963-04-02,66.849998,68.910004,66.510002,68.519997,68.519997,25500000
1963-04-09,68.519997,69.559998,67.660004,69.089996,69.089996,22150000
1963-04-16,69.089996,69.820000,68.470001,69.300003,69.300003,25400000
1963-04-23,69.300003,70.120003,68.949997,69.650002,69.650002,24670000
1963-04-30,69.650002,70.510002,69.260002,69.529999,69.529999,23070000
1963-05-07,69.529999,70.889999,69.029999,70.480003,70.480003,25060000
1963-05-14,70.480003,70.809998,69.589996,69.959999,69.959999,25150000
1963-05-21,69.959999,70.680000,69.480003,69.870003,69.870003,23610000
1963-05-28,69.870003,71.239998,69.550003,70.690002,70.690002,18260000
1963-06-04,70.690002,71.169998,69.570000,69.940002,69.940002,26620000
1963-06-11,69.940002,70.849998,69.580002,69.949997,69.949997,21640000
